"tick","id","utility"
1.0,21,0.0
1.0,47,0.0
1.0,43,0.0
1.0,24,0.0
1.0,31,0.0
1.0,62,0.0
1.0,22,0.0
1.0,5,0.0
1.0,37,0.0
1.0,34,0.0
1.0,23,0.0
1.0,61,0.0
1.0,35,0.0
1.0,13,1.806989872636028
1.0,8,0.0
1.0,17,0.0
1.0,58,0.0
1.0,60,0.0
1.0,6,0.0
1.0,53,3.296282473420411
1.0,63,0.0
1.0,40,0.0
1.0,42,0.0
1.0,20,0.0
1.0,59,0.0
1.0,52,0.0
1.0,9,0.0
1.0,16,0.0
1.0,56,0.0
1.0,54,0.0
1.0,10,0.0
1.0,25,0.0
1.0,26,0.0
1.0,12,0.0
1.0,18,0.0
1.0,64,1.0
1.0,30,0.0
1.0,36,0.0
1.0,41,1.0
1.0,27,1.9737989260664888
1.0,32,0.0
1.0,7,0.0
1.0,51,0.0
1.0,19,0.0
1.0,28,0.0
1.0,14,1.4304925052329902
1.0,11,1.0
1.0,38,0.0
1.0,50,0.0
1.0,48,1.0
1.0,57,0.0
1.0,44,0.0
1.0,55,0.0
1.0,0,0.0
1.0,49,0.0
1.0,45,0.0
1.0,33,0.0
1.0,2,0.0
1.0,29,0.0
1.0,39,0.0
1.0,46,0.0
1.0,15,0.0
1.0,1,0.0
1.0,4,0.0
1.0,3,0.0
2.0,21,0.0
2.0,47,0.0
2.0,43,0.0
2.0,24,0.0
2.0,31,0.0
2.0,62,0.0
2.0,22,0.0
2.0,5,0.0
2.0,37,0.0
2.0,34,0.0
2.0,23,0.0
2.0,61,0.0
2.0,35,0.0
2.0,13,2.296282473420411
2.0,8,0.0
2.0,17,0.0
2.0,58,0.0
2.0,60,0.0
2.0,6,0.0
2.0,53,3.3745966692414835
2.0,63,0.0
2.0,40,0.0
2.0,42,0.0
2.0,20,0.0
2.0,59,0.0
2.0,52,0.0
2.0,9,0.0
2.0,16,0.0
2.0,56,0.0
2.0,54,0.0
2.0,10,0.0
2.0,25,0.0
2.0,26,0.0
2.0,12,0.0
2.0,18,0.0
2.0,64,1.806989872636028
2.0,30,0.0
2.0,36,0.0
2.0,41,1.0
2.0,27,1.5941614853994788
2.0,32,0.0
2.0,7,0.0
2.0,51,0.0
2.0,19,0.0
2.0,28,0.0
2.0,14,1.5941614853994788
2.0,11,1.0
2.0,38,0.0
2.0,50,0.0
2.0,48,1.0
2.0,57,0.0
2.0,44,0.0
2.0,55,0.0
2.0,0,0.0
2.0,49,0.0
2.0,45,0.0
2.0,33,0.0
2.0,2,0.0
2.0,29,0.0
2.0,39,0.0
2.0,46,0.0
2.0,15,0.0
2.0,1,0.0
2.0,4,0.0
2.0,3,0.0
3.0,21,0.0
3.0,47,0.0
3.0,43,0.0
3.0,24,0.0
3.0,31,0.0
3.0,62,0.0
3.0,22,0.0
3.0,5,0.0
3.0,37,0.0
3.0,34,0.0
3.0,23,0.0
3.0,61,0.0
3.0,35,0.0
3.0,13,1.9737989260664888
3.0,8,0.0
3.0,17,0.0
3.0,58,0.0
3.0,60,0.0
3.0,6,0.0
3.0,53,3.296282473420411
3.0,63,0.0
3.0,40,0.0
3.0,42,0.0
3.0,20,0.0
3.0,59,0.0
3.0,52,0.0
3.0,9,0.0
3.0,16,0.0
3.0,56,0.0
3.0,54,0.0
3.0,10,0.0
3.0,25,0.0
3.0,26,0.0
3.0,12,0.0
3.0,18,0.0
3.0,64,1.4304925052329902
3.0,30,0.0
3.0,36,0.0
3.0,41,1.0
3.0,27,1.0
3.0,32,0.0
3.0,7,0.0
3.0,51,0.0
3.0,19,0.0
3.0,28,0.0
3.0,14,1.6472135954999578
3.0,11,1.0
3.0,38,0.0
3.0,50,0.0
3.0,48,1.0
3.0,57,0.0
3.0,44,0.0
3.0,55,0.0
3.0,0,0.0
3.0,49,0.0
3.0,45,0.0
3.0,33,0.0
3.0,2,0.0
3.0,29,0.0
3.0,39,0.0
3.0,46,0.0
3.0,15,0.0
3.0,1,0.0
3.0,4,0.0
3.0,3,0.0
4.0,21,0.0
4.0,47,0.0
4.0,43,0.0
4.0,24,0.0
4.0,31,0.0
4.0,62,0.0
4.0,22,0.0
4.0,5,0.0
4.0,37,0.0
4.0,34,0.0
4.0,23,0.0
4.0,61,0.0
4.0,35,0.0
4.0,13,2.093340048800269
4.0,8,0.0
4.0,17,0.0
4.0,58,0.0
4.0,60,0.0
4.0,6,0.0
4.0,53,3.296282473420411
4.0,63,0.0
4.0,40,0.0
4.0,42,0.0
4.0,20,0.0
4.0,59,0.0
4.0,52,0.0
4.0,9,0.0
4.0,16,0.0
4.0,56,0.0
4.0,54,0.0
4.0,10,0.0
4.0,25,0.0
4.0,26,0.0
4.0,12,0.0
4.0,18,0.0
4.0,64,1.0
4.0,30,0.0
4.0,36,0.0
4.0,41,1.0
4.0,27,60.174471081438504
4.0,32,0.0
4.0,7,0.0
4.0,51,1.0
4.0,19,0.0
4.0,28,0.0
4.0,14,1.9737989260664888
4.0,11,1.0
4.0,38,0.0
4.0,50,0.0
4.0,48,58.38162435199065
4.0,57,0.0
4.0,44,-59.174471081438504
4.0,55,0.0
4.0,0,0.0
4.0,49,0.0
4.0,45,0.0
4.0,33,0.0
4.0,2,0.0
4.0,29,0.0
4.0,39,0.0
4.0,46,0.0
4.0,15,0.0
4.0,1,0.0
4.0,4,0.0
4.0,3,0.0
5.0,21,0.0
5.0,47,0.0
5.0,43,0.0
5.0,24,0.0
5.0,31,0.0
5.0,62,0.0
5.0,22,0.0
5.0,5,0.0
5.0,37,0.0
5.0,34,0.0
5.0,23,0.0
5.0,61,0.0
5.0,35,0.0
5.0,13,2.296282473420411
5.0,8,0.0
5.0,17,0.0
5.0,58,0.0
5.0,60,0.0
5.0,6,0.0
5.0,53,3.694427190999916
5.0,63,0.0
5.0,40,0.0
5.0,42,0.0
5.0,20,0.0
5.0,59,0.0
5.0,52,0.0
5.0,9,0.0
5.0,16,0.0
5.0,56,0.0
5.0,54,0.0
5.0,10,0.0
5.0,25,0.0
5.0,26,0.0
5.0,12,0.0
5.0,18,0.0
5.0,64,1.0
5.0,30,0.0
5.0,36,0.0
5.0,41,1.0
5.0,27,60.174471081438504
5.0,32,0.0
5.0,7,0.0
5.0,51,1.0
5.0,19,0.0
5.0,28,0.0
5.0,14,2.3745966692414835
5.0,11,1.0
5.0,38,0.0
5.0,50,0.0
5.0,48,58.38162435199065
5.0,57,0.0
5.0,44,1.0
5.0,55,0.0
5.0,0,0.0
5.0,49,0.0
5.0,45,0.0
5.0,33,0.0
5.0,2,0.0
5.0,29,0.0
5.0,39,0.0
5.0,46,0.0
5.0,15,0.0
5.0,1,0.0
5.0,4,0.0
5.0,3,0.0
6.0,21,0.0
6.0,47,0.0
6.0,43,0.0
6.0,24,1.0
6.0,31,0.0
6.0,62,0.0
6.0,22,0.0
6.0,5,2.564008683890399
6.0,37,0.0
6.0,34,0.0
6.0,23,0.0
6.0,61,0.0
6.0,35,0.0
6.0,13,1.9737989260664888
6.0,8,0.0
6.0,17,0.0
6.0,58,0.0
6.0,60,0.0
6.0,6,0.0
6.0,53,-1.2356352752306492
6.0,63,0.0
6.0,40,0.0
6.0,42,0.0
6.0,20,0.0
6.0,59,0.0
6.0,52,0.0
6.0,9,0.0
6.0,16,0.0
6.0,56,0.0
6.0,54,0.0
6.0,10,0.0
6.0,25,0.0
6.0,26,0.0
6.0,12,0.0
6.0,18,0.0
6.0,64,90.09188817704252
6.0,30,0.0
6.0,36,0.0
6.0,41,1.0
6.0,27,60.174471081438504
6.0,32,1.0
6.0,7,0.0
6.0,51,55.14703062896432
6.0,19,0.0
6.0,28,0.0
6.0,14,1.9737989260664888
6.0,11,1.4304925052329902
6.0,38,0.0
6.0,50,0.0
6.0,48,58.38162435199065
6.0,57,0.0
6.0,44,66.58470697189234
6.0,55,-89.09188817704252
6.0,0,0.0
6.0,49,0.0
6.0,45,0.0
6.0,33,0.0
6.0,2,0.0
6.0,29,0.0
6.0,39,0.0
6.0,46,0.0
6.0,15,0.0
6.0,1,0.0
6.0,4,0.0
6.0,3,0.0
7.0,21,0.0
7.0,47,0.0
7.0,43,0.0
7.0,24,1.0
7.0,31,0.0
7.0,62,0.0
7.0,22,0.0
7.0,5,2.296282473420411
7.0,37,0.0
7.0,34,0.0
7.0,23,0.0
7.0,61,0.0
7.0,35,0.0
7.0,13,1.5941614853994788
7.0,8,0.0
7.0,17,0.0
7.0,58,0.0
7.0,60,0.0
7.0,6,0.0
7.0,53,148.86882160562936
7.0,63,0.0
7.0,40,0.0
7.0,42,0.0
7.0,20,0.0
7.0,59,0.0
7.0,52,0.0
7.0,9,0.0
7.0,16,0.0
7.0,56,0.0
7.0,54,0.0
7.0,10,0.0
7.0,25,0.0
7.0,26,0.0
7.0,12,0.0
7.0,18,0.0
7.0,64,90.09188817704252
7.0,30,0.0
7.0,36,0.0
7.0,41,1.0
7.0,27,60.174471081438504
7.0,32,1.0
7.0,7,0.0
7.0,51,55.14703062896432
7.0,19,0.0
7.0,28,0.0
7.0,14,2.093340048800269
7.0,11,1.806989872636028
7.0,38,0.0
7.0,50,0.0
7.0,48,58.38162435199065
7.0,57,0.0
7.0,44,-17.277184074283127
7.0,55,1.0
7.0,0,0.0
7.0,49,0.0
7.0,45,0.0
7.0,33,0.0
7.0,2,0.0
7.0,29,0.0
7.0,39,0.0
7.0,46,0.0
7.0,15,0.0
7.0,1,0.0
7.0,4,0.0
7.0,3,0.0
8.0,21,0.0
8.0,47,0.0
8.0,43,0.0
8.0,24,1.0
8.0,31,0.0
8.0,62,0.0
8.0,22,0.0
8.0,5,2.093340048800269
8.0,37,0.0
8.0,34,0.0
8.0,23,0.0
8.0,61,0.0
8.0,35,0.0
8.0,13,2.032455532033676
8.0,8,0.0
8.0,17,0.0
8.0,58,0.0
8.0,60,0.0
8.0,6,0.0
8.0,53,148.48357966909563
8.0,63,0.0
8.0,40,0.0
8.0,42,0.0
8.0,20,0.0
8.0,59,0.0
8.0,52,0.0
8.0,9,0.0
8.0,16,0.0
8.0,56,0.0
8.0,54,0.0
8.0,10,0.0
8.0,25,0.0
8.0,26,0.0
8.0,12,0.0
8.0,18,0.0
8.0,64,90.09188817704252
8.0,30,0.0
8.0,36,0.0
8.0,41,1.0
8.0,27,60.174471081438504
8.0,32,1.5406657250356417
8.0,7,0.0
8.0,51,55.14703062896432
8.0,19,0.0
8.0,28,0.0
8.0,14,2.093340048800269
8.0,11,1.806989872636028
8.0,38,0.0
8.0,50,0.0
8.0,48,58.38162435199065
8.0,57,0.0
8.0,44,67.58470697189234
8.0,55,1.0
8.0,0,0.0
8.0,49,0.0
8.0,45,0.0
8.0,33,0.0
8.0,2,0.0
8.0,29,0.0
8.0,39,0.0
8.0,46,0.0
8.0,15,0.0
8.0,1,0.0
8.0,4,0.0
8.0,3,0.0
9.0,21,0.0
9.0,47,0.0
9.0,43,0.0
9.0,24,1.0
9.0,31,0.0
9.0,62,0.0
9.0,22,0.0
9.0,5,1.0
9.0,37,0.0
9.0,34,0.0
9.0,23,0.0
9.0,61,0.0
9.0,35,0.0
9.0,13,1.6472135954999578
9.0,8,0.0
9.0,17,0.0
9.0,58,0.0
9.0,60,0.0
9.0,6,0.0
9.0,53,148.81016499966216
9.0,63,0.0
9.0,40,0.0
9.0,42,0.0
9.0,20,0.0
9.0,59,0.0
9.0,52,0.0
9.0,9,0.0
9.0,16,0.0
9.0,56,0.0
9.0,54,0.0
9.0,10,0.0
9.0,25,0.0
9.0,26,0.0
9.0,12,0.0
9.0,18,0.0
9.0,64,90.09188817704252
9.0,30,0.0
9.0,36,0.0
9.0,41,1.0
9.0,27,60.174471081438504
9.0,32,1.5406657250356417
9.0,7,0.0
9.0,51,56.14703062896432
9.0,19,0.0
9.0,28,0.0
9.0,14,1.5406657250356417
9.0,11,1.9737989260664888
9.0,38,0.0
9.0,50,0.0
9.0,48,58.38162435199065
9.0,57,0.0
9.0,44,67.58470697189234
9.0,55,81.89701266549056
9.0,0,0.0
9.0,49,0.0
9.0,45,0.0
9.0,33,0.0
9.0,2,0.0
9.0,29,0.0
9.0,39,0.0
9.0,46,0.0
9.0,15,0.0
9.0,1,0.0
9.0,4,0.0
9.0,3,0.0
10.0,21,0.0
