simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval
TileWorld_1,50,100,2,30,30,2,20,500,100,TileWorld_2,50,100,2,60,60,2,40,500,100

tick,agent,score,energy,location,target
73.0,1,16,434,[67, 6],[69, 6]
73.0,2,16,438,[12, 33],null
74.0,1,16,434,[67, 6],[69, 6]
74.0,2,16,438,[12, 33],null
75.0,1,16,432,[69, 6],null
75.0,2,16,437,[11, 32],[8, 29]
76.0,1,16,432,[69, 6],null
76.0,2,16,437,[11, 32],[8, 29]
77.0,1,16,430,[67, 6],[66, 7]
77.0,2,16,435,[9, 30],[8, 29]
78.0,2,16,434,[8, 29],null
78.0,1,16,429,[66, 7],null
79.0,2,19,434,[8, 29],null
79.0,1,16,428,[66, 6],[65, 3]
80.0,2,19,433,[8, 30],[11, 33]
80.0,1,16,427,[66, 5],[65, 3]
81.0,2,19,433,[8, 30],[11, 33]
81.0,1,16,427,[66, 5],[65, 3]
82.0,1,16,426,[66, 4],[65, 3]
82.0,2,19,432,[9, 31],[11, 33]
83.0,2,19,431,[10, 32],[11, 33]
83.0,1,16,425,[65, 3],null
84.0,1,16,424,[65, 2],[64, 49]
84.0,2,19,430,[11, 33],null
85.0,2,19,429,[11, 34],null
85.0,1,16,423,[65, 1],[64, 49]
86.0,2,19,428,[12, 34],[15, 33]
86.0,1,16,422,[65, 0],[64, 49]
87.0,1,16,420,[63, 49],[61, 0]
87.0,2,19,426,[14, 34],[15, 33]
88.0,1,16,420,[63, 49],[61, 0]
88.0,2,19,426,[14, 34],[15, 33]
89.0,2,19,425,[15, 33],null
89.0,1,16,419,[62, 49],[61, 0]
90.0,2,19,424,[14, 33],[11, 36]
90.0,1,16,418,[61, 0],null
91.0,2,19,423,[13, 34],[11, 36]
91.0,1,16,417,[60, 0],[57, 49]
92.0,1,16,415,[58, 0],[57, 49]
92.0,2,19,421,[11, 36],null
93.0,1,16,414,[57, 49],null
93.0,2,19,420,[10, 37],[8, 39]
94.0,2,19,419,[9, 38],[8, 39]
94.0,1,16,414,[57, 49],null
95.0,1,16,413,[57, 0],[57, 2]
95.0,2,19,418,[8, 39],null
96.0,2,19,418,[8, 39],null
96.0,1,16,413,[57, 0],[57, 2]
97.0,1,16,412,[57, 1],[57, 2]
97.0,2,19,418,[8, 39],null
98.0,1,24,411,[57, 2],null
98.0,2,19,416,[6, 39],[5, 38]
99.0,1,24,411,[57, 2],null
99.0,2,19,416,[6, 39],[5, 38]
100.0,1,24,410,[58, 2],[60, 2]
100.0,2,19,415,[5, 38],null
101.0,2,19,413,[7, 39],[8, 40]
101.0,1,24,408,[60, 2],null
102.0,1,24,408,[60, 2],null
102.0,2,19,413,[7, 39],[8, 40]
103.0,2,19,412,[8, 40],null
103.0,1,24,407,[59, 3],[56, 6]
104.0,2,19,411,[9, 40],[10, 39]
104.0,1,24,406,[58, 4],[56, 6]
105.0,2,19,409,[10, 40],[9, 41]
105.0,1,24,404,[56, 6],null
106.0,1,24,404,[56, 6],null
106.0,2,19,408,[9, 41],null
107.0,1,24,403,[55, 6],[54, 5]
107.0,2,19,407,[10, 41],[11, 40]
108.0,2,19,407,[10, 41],[11, 40]
108.0,1,24,403,[55, 6],[54, 5]
109.0,1,29,402,[54, 5],null
109.0,2,19,405,[11, 39],[11, 36]
110.0,1,29,401,[54, 4],[53, 3]
110.0,2,19,404,[11, 38],[11, 36]
111.0,2,19,403,[11, 37],[11, 36]
111.0,1,29,400,[53, 3],null
112.0,1,29,400,[53, 3],null
112.0,2,19,403,[11, 37],[11, 36]
113.0,1,29,399,[54, 2],[85, 30]
113.0,2,19,401,[10, 36],[7, 33]
114.0,1,29,398,[55, 1],[85, 30]
114.0,2,19,401,[10, 36],[7, 33]
115.0,1,29,398,[55, 1],[85, 30]
115.0,2,19,401,[10, 36],[7, 33]
116.0,2,19,399,[8, 34],[7, 33]
116.0,1,29,396,[57, 49],[85, 30]
117.0,1,29,396,[57, 49],[85, 30]
117.0,2,19,399,[8, 34],[7, 33]
118.0,2,19,398,[7, 33],null
118.0,1,29,395,[58, 48],[85, 30]
119.0,2,28,398,[7, 33],null
119.0,1,29,394,[59, 47],[85, 30]
120.0,2,28,397,[6, 33],[4, 32]
120.0,1,29,393,[60, 46],[85, 30]
121.0,1,29,391,[62, 44],[85, 30]
121.0,2,28,395,[4, 32],null
122.0,2,28,394,[4, 31],[3, 30]
122.0,1,29,390,[63, 43],[85, 30]
123.0,1,29,389,[64, 42],[85, 30]
123.0,2,28,393,[3, 30],null
124.0,1,29,388,[65, 41],[85, 30]
124.0,2,28,392,[2, 30],[99, 32]
125.0,2,28,391,[1, 30],[99, 32]
125.0,1,29,387,[66, 40],[85, 30]
126.0,2,28,390,[0, 31],[99, 32]
126.0,1,29,386,[67, 39],[85, 30]
127.0,1,29,385,[68, 38],[85, 30]
127.0,2,28,389,[99, 32],null
128.0,2,36,389,[99, 32],null
128.0,1,29,384,[69, 37],[85, 30]
129.0,2,36,388,[98, 32],[96, 33]
129.0,1,29,383,[70, 36],[85, 30]
130.0,1,29,383,[70, 36],[85, 30]
130.0,2,36,388,[98, 32],[96, 33]
131.0,2,36,386,[96, 33],null
131.0,1,29,381,[72, 34],[85, 30]
132.0,1,29,380,[73, 33],[85, 30]
132.0,2,36,386,[96, 33],null
133.0,1,29,379,[74, 32],[85, 30]
133.0,2,36,385,[96, 34],[96, 35]
134.0,1,29,379,[74, 32],[85, 30]
134.0,2,36,385,[96, 34],[96, 35]
135.0,1,29,377,[76, 30],[85, 30]
135.0,2,36,384,[96, 35],null
136.0,1,29,376,[77, 29],[85, 30]
136.0,2,36,383,[95, 36],[92, 39]
137.0,2,36,383,[95, 36],[92, 39]
137.0,1,29,376,[77, 29],[85, 30]
138.0,2,36,382,[94, 37],[92, 39]
138.0,1,29,375,[78, 30],[85, 30]
139.0,1,29,373,[80, 30],[85, 30]
139.0,2,36,380,[92, 39],null
140.0,1,29,373,[80, 30],[85, 30]
140.0,2,36,380,[92, 39],null
141.0,1,29,372,[81, 29],[85, 30]
141.0,2,36,380,[92, 39],null
142.0,2,38,379,[93, 39],null
142.0,1,29,371,[82, 29],[85, 30]
143.0,1,29,370,[83, 29],[85, 30]
143.0,2,38,378,[92, 39],[89, 40]
144.0,1,29,369,[84, 29],[85, 30]
144.0,2,38,377,[91, 39],[89, 40]
145.0,1,29,368,[85, 30],null
145.0,2,38,376,[90, 39],[89, 40]
146.0,1,38,368,[85, 30],null
146.0,2,38,375,[89, 40],null
147.0,2,38,373,[87, 41],null
147.0,1,38,366,[83, 28],[81, 26]
148.0,2,38,373,[87, 41],null
148.0,1,38,365,[82, 27],[81, 26]
149.0,1,38,365,[82, 27],[81, 26]
149.0,2,38,373,[87, 41],null
150.0,2,38,371,[89, 41],[91, 42]
150.0,1,38,363,[82, 26],[85, 28]
151.0,2,38,370,[90, 41],[91, 42]
151.0,1,38,362,[83, 26],[85, 28]
152.0,1,38,361,[84, 27],[85, 28]
152.0,2,38,369,[91, 42],null
153.0,1,38,360,[85, 28],null
153.0,2,44,369,[91, 42],null
154.0,2,44,369,[91, 42],null
154.0,1,38,360,[85, 28],null
155.0,1,38,358,[87, 28],[89, 26]
155.0,2,44,367,[89, 42],[88, 41]
156.0,2,44,366,[88, 41],null
156.0,1,38,357,[88, 27],[89, 26]
157.0,2,44,365,[87, 42],[84, 45]
157.0,1,38,356,[89, 26],null
158.0,1,38,355,[90, 26],[93, 27]
158.0,2,44,364,[86, 43],[84, 45]
159.0,1,38,354,[91, 26],[93, 27]
159.0,2,44,363,[85, 44],[84, 45]
160.0,1,38,354,[91, 26],[93, 27]
160.0,2,44,363,[85, 44],[84, 45]
161.0,1,38,353,[92, 26],[93, 27]
161.0,2,44,362,[84, 45],null
162.0,1,38,351,[94, 27],null
162.0,2,44,361,[84, 44],[86, 42]
163.0,2,44,361,[84, 44],[86, 42]
163.0,1,38,351,[94, 27],null
164.0,1,38,349,[96, 25],[97, 24]
164.0,2,44,359,[86, 42],null
165.0,2,44,358,[86, 43],[87, 45]
165.0,1,38,348,[97, 24],null
166.0,2,44,357,[86, 44],[87, 45]
166.0,1,38,347,[97, 25],[98, 26]
167.0,2,44,357,[86, 44],[87, 45]
167.0,1,38,347,[97, 25],[98, 26]
168.0,2,44,356,[87, 45],null
168.0,1,38,346,[98, 26],null
169.0,1,38,344,[0, 26],[1, 25]
169.0,2,44,354,[85, 44],[84, 43]
170.0,1,38,344,[0, 26],[1, 25]
170.0,2,44,354,[85, 44],[84, 43]
171.0,1,38,343,[1, 25],null
171.0,2,44,353,[84, 43],null
172.0,1,38,342,[2, 25],[3, 25]
172.0,2,44,352,[84, 44],[83, 45]
173.0,2,44,351,[83, 45],null
173.0,1,38,341,[3, 25],null
174.0,1,38,340,[4, 25],[7, 23]
174.0,2,44,350,[82, 44],[81, 43]
175.0,2,44,349,[81, 43],null
175.0,1,38,339,[5, 25],[7, 23]
176.0,1,38,338,[6, 24],[7, 23]
176.0,2,44,348,[81, 44],[84, 47]
177.0,2,44,347,[82, 45],[84, 47]
177.0,1,38,338,[6, 24],[7, 23]
178.0,2,44,346,[83, 46],[84, 47]
178.0,1,38,337,[7, 23],null
179.0,2,44,344,[85, 47],[87, 49]
179.0,1,42,336,[8, 23],[9, 22]
180.0,1,42,336,[8, 23],[9, 22]
180.0,2,44,344,[85, 47],[87, 49]
181.0,1,42,335,[9, 22],null
181.0,2,44,343,[86, 48],[87, 49]
182.0,2,44,341,[87, 48],[84, 45]
182.0,1,42,333,[7, 22],[5, 24]
183.0,1,42,332,[6, 23],[5, 24]
183.0,2,44,340,[86, 47],[84, 45]
184.0,2,44,340,[86, 47],[84, 45]
184.0,1,42,332,[6, 23],[5, 24]
185.0,1,42,330,[5, 23],[7, 20]
185.0,2,44,338,[84, 45],null
186.0,2,44,337,[85, 44],[87, 42]
186.0,1,42,329,[5, 22],[7, 20]
187.0,2,44,337,[85, 44],[87, 42]
187.0,1,42,329,[5, 22],[7, 20]
188.0,2,44,336,[86, 43],[87, 42]
188.0,1,42,328,[6, 21],[7, 20]
189.0,2,44,334,[87, 43],[88, 46]
189.0,1,42,326,[7, 19],[5, 16]
190.0,1,42,326,[7, 19],[5, 16]
190.0,2,44,334,[87, 43],[88, 46]
191.0,2,44,333,[87, 44],[88, 46]
191.0,1,42,325,[6, 18],[5, 16]
192.0,1,42,324,[6, 17],[5, 16]
