simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval
TileWorld_1,50,100,2,30,30,2,20,500,100

tick,agent,score,energy,location,target
74.0,1,8,428,[59, 38],[58, 37]
75.0,2,8,428,[14, 5],[12, 7]
75.0,1,8,427,[58, 37],null
76.0,1,8,426,[57, 37],[54, 39]
76.0,2,8,427,[13, 6],[12, 7]
77.0,2,8,427,[13, 6],[12, 7]
77.0,1,8,426,[57, 37],[54, 39]
78.0,1,8,425,[56, 37],[54, 39]
78.0,2,8,426,[12, 7],null
79.0,1,8,423,[54, 39],null
79.0,2,8,424,[13, 9],null
80.0,1,8,422,[54, 38],[53, 37]
80.0,2,8,423,[13, 10],[13, 13]
81.0,2,8,423,[13, 10],[13, 13]
81.0,1,8,422,[54, 38],[53, 37]
82.0,2,8,422,[13, 11],[13, 13]
82.0,1,8,421,[53, 37],null
83.0,2,8,421,[13, 12],[13, 13]
83.0,1,8,420,[53, 36],[52, 35]
84.0,1,8,418,[53, 35],[54, 34]
84.0,2,8,419,[12, 13],[11, 13]
85.0,1,8,418,[53, 35],[54, 34]
85.0,2,8,419,[12, 13],[11, 13]
86.0,1,8,417,[54, 34],null
86.0,2,8,418,[11, 13],null
87.0,1,8,415,[56, 32],null
87.0,2,8,416,[11, 11],[13, 9]
88.0,1,8,415,[56, 32],null
88.0,2,8,416,[11, 11],[13, 9]
89.0,2,8,414,[13, 9],null
89.0,1,8,413,[54, 32],[52, 32]
90.0,2,8,413,[14, 9],[17, 11]
90.0,1,8,412,[53, 32],[52, 32]
91.0,2,8,412,[15, 9],[17, 11]
91.0,1,8,411,[52, 32],null
92.0,1,8,410,[52, 31],[50, 29]
92.0,2,8,411,[16, 10],[17, 11]
93.0,2,8,410,[17, 11],null
93.0,1,8,409,[51, 30],[50, 29]
94.0,1,8,409,[51, 30],[50, 29]
94.0,2,8,410,[17, 11],null
95.0,1,8,408,[50, 29],null
95.0,2,8,409,[17, 10],[14, 7]
96.0,2,8,407,[15, 8],[14, 7]
96.0,1,8,406,[52, 27],[53, 26]
97.0,2,8,406,[14, 7],null
97.0,1,8,405,[53, 26],null
98.0,2,8,406,[14, 7],null
98.0,1,8,405,[53, 26],null
99.0,1,8,403,[55, 24],[57, 22]
99.0,2,8,404,[16, 7],[17, 7]
100.0,2,8,404,[16, 7],[17, 7]
