simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval
TileWorld_1,50,100,2,30,30,2,20,500,100,TileWorld_2,50,100,2,60,60,2,40,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100

tick,agent,score,energy,location,target
494.0,1,31,379,[24, 13],null
495.0,1,31,377,[22, 14],null
496.0,1,31,376,[22, 15],[21, 18]
497.0,1,31,376,[22, 15],[21, 18]
498.0,1,31,374,[22, 17],[21, 18]
499.0,1,31,373,[21, 18],null
500.0,1,31,373,[21, 18],null
501.0,1,31,371,[23, 18],[24, 17]
502.0,1,31,370,[24, 17],null
503.0,1,31,370,[24, 17],null
504.0,1,31,369,[24, 18],[24, 20]
505.0,1,31,368,[24, 19],[24, 20]
506.0,1,31,366,[24, 19],[22, 16]
507.0,1,31,366,[24, 19],[22, 16]
508.0,1,31,364,[23, 17],[22, 16]
509.0,1,31,363,[22, 16],null
510.0,1,31,362,[23, 17],[24, 18]
511.0,1,31,362,[23, 17],[24, 18]
512.0,1,31,360,[23, 18],[22, 19]
513.0,1,31,359,[22, 19],null
514.0,1,31,358,[22, 18],[19, 15]
515.0,1,31,358,[22, 18],[19, 15]
516.0,1,31,357,[21, 17],[19, 15]
517.0,1,31,356,[20, 16],[19, 15]
518.0,1,31,354,[19, 14],[20, 11]
519.0,1,31,353,[19, 13],[20, 11]
520.0,1,31,353,[19, 13],[20, 11]
521.0,1,31,351,[20, 11],null
522.0,1,31,350,[20, 12],[21, 15]
523.0,1,31,350,[20, 12],[21, 15]
524.0,1,31,348,[20, 14],[21, 15]
525.0,1,31,347,[21, 15],null
526.0,1,31,347,[21, 15],null
527.0,1,31,345,[20, 17],[19, 18]
528.0,1,31,345,[20, 17],[19, 18]
529.0,1,31,343,[20, 18],[23, 15]
530.0,1,31,343,[20, 18],[23, 15]
531.0,1,31,341,[22, 16],[23, 15]
532.0,1,31,340,[23, 15],null
533.0,1,31,340,[23, 15],null
534.0,1,31,339,[24, 15],[27, 16]
535.0,1,31,338,[25, 15],[27, 16]
536.0,1,31,336,[27, 16],null
537.0,1,31,335,[27, 15],null
538.0,1,31,334,[28, 15],[31, 15]
539.0,1,31,334,[28, 15],[31, 15]
540.0,1,31,332,[30, 15],[31, 15]
541.0,1,31,332,[30, 15],[31, 15]
542.0,1,31,330,[30, 15],[29, 15]
543.0,1,31,329,[29, 15],null
544.0,1,31,328,[29, 14],[27, 11]
545.0,1,31,327,[29, 13],[27, 11]
546.0,1,31,327,[29, 13],[27, 11]
547.0,1,31,326,[28, 12],[27, 11]
548.0,1,31,324,[28, 12],[29, 13]
549.0,1,31,324,[28, 12],[29, 13]
550.0,1,31,323,[29, 13],null
551.0,1,31,321,[29, 11],[28, 10]
552.0,1,31,320,[28, 10],null
553.0,1,31,320,[28, 10],null
554.0,1,31,318,[27, 8],null
555.0,1,31,318,[27, 8],null
556.0,1,31,316,[27, 10],[29, 12]
557.0,1,31,316,[27, 10],[29, 12]
558.0,1,31,315,[28, 11],[29, 12]
559.0,1,31,314,[29, 12],null
560.0,1,31,312,[30, 10],[31, 9]
561.0,1,31,312,[30, 10],[31, 9]
562.0,1,31,310,[30, 9],[27, 11]
563.0,1,31,309,[29, 9],[27, 11]
564.0,1,31,309,[29, 9],[27, 11]
565.0,1,31,308,[28, 10],[27, 11]
566.0,1,31,307,[27, 11],null
567.0,1,31,305,[29, 10],null
568.0,1,31,305,[29, 10],null
569.0,1,31,303,[30, 8],[31, 7]
570.0,1,31,302,[31, 7],null
571.0,1,31,302,[31, 7],null
572.0,1,31,300,[29, 9],[27, 11]
573.0,1,31,300,[29, 9],[27, 11]
574.0,1,31,299,[28, 10],[27, 11]
575.0,1,31,298,[27, 11],null
576.0,1,31,296,[28, 9],null
577.0,1,31,296,[28, 9],null
578.0,1,31,294,[28, 11],null
579.0,1,31,294,[28, 11],null
580.0,1,31,293,[28, 12],[27, 15]
581.0,1,31,291,[28, 14],[27, 15]
582.0,1,31,291,[28, 14],[27, 15]
583.0,1,31,289,[27, 14],[27, 11]
584.0,1,31,288,[27, 13],[27, 11]
585.0,1,31,287,[27, 12],[27, 11]
586.0,1,31,286,[27, 11],null
587.0,1,31,286,[27, 11],null
588.0,1,31,284,[27, 9],[28, 7]
589.0,1,31,283,[27, 8],[28, 7]
590.0,1,31,283,[27, 8],[28, 7]
591.0,1,31,281,[29, 8],[32, 11]
592.0,1,31,281,[29, 8],[32, 11]
593.0,1,31,279,[31, 10],[32, 11]
594.0,1,31,278,[32, 11],null
595.0,1,31,278,[32, 11],null
596.0,1,31,277,[31, 10],[30, 9]
597.0,1,31,276,[30, 9],null
598.0,1,31,275,[30, 8],[31, 7]
599.0,1,31,273,[31, 6],[30, 4]
600.0,1,31,272,[31, 5],[30, 4]
601.0,1,31,272,[31, 5],[30, 4]
602.0,1,31,270,[31, 4],[32, 4]
603.0,1,31,270,[31, 4],[32, 4]
604.0,1,31,268,[31, 3],[29, 1]
605.0,1,31,268,[31, 3],[29, 1]
606.0,1,31,266,[29, 1],null
607.0,1,31,266,[29, 1],null
608.0,1,31,264,[29, 1],[27, 49]
609.0,1,31,264,[29, 1],[27, 49]
610.0,1,31,263,[28, 0],[27, 49]
611.0,1,31,262,[27, 49],null
612.0,1,31,260,[25, 48],[24, 47]
613.0,1,31,260,[25, 48],[24, 47]
614.0,1,31,258,[23, 48],[22, 49]
615.0,1,31,257,[22, 49],null
616.0,1,31,257,[22, 49],null
617.0,1,31,255,[21, 49],[20, 48]
618.0,1,31,255,[21, 49],[20, 48]
619.0,1,31,253,[20, 47],[23, 44]
620.0,1,31,253,[20, 47],[23, 44]
621.0,1,31,252,[21, 46],[23, 44]
622.0,1,31,251,[22, 45],[23, 44]
623.0,1,31,250,[23, 44],null
624.0,1,31,249,[23, 45],[21, 47]
625.0,1,31,247,[21, 47],null
626.0,1,31,247,[21, 47],null
627.0,1,31,246,[22, 47],[25, 0]
628.0,1,31,244,[24, 49],[25, 0]
629.0,1,31,244,[24, 49],[25, 0]
630.0,1,31,242,[25, 1],[25, 4]
631.0,1,31,241,[25, 2],[25, 4]
632.0,1,31,241,[25, 2],[25, 4]
633.0,1,31,240,[25, 3],[25, 4]
634.0,1,31,239,[25, 4],null
635.0,1,31,238,[26, 4],[28, 5]
636.0,1,31,236,[28, 5],null
637.0,1,31,235,[29, 5],[32, 2]
638.0,1,31,235,[29, 5],[32, 2]
639.0,1,31,233,[31, 3],[32, 2]
640.0,1,31,232,[32, 2],null
641.0,1,31,232,[32, 2],null
642.0,1,31,231,[32, 1],[33, 49]
643.0,1,31,229,[33, 49],null
644.0,1,31,229,[33, 49],null
645.0,1,31,227,[33, 47],[32, 46]
646.0,1,31,227,[33, 47],[32, 46]
647.0,1,41,226,[32, 46],null
648.0,1,41,226,[32, 46],null
649.0,1,41,224,[30, 47],[29, 48]
650.0,1,41,223,[29, 48],null
651.0,1,41,222,[30, 48],[32, 48]
652.0,1,41,222,[30, 48],[32, 48]
653.0,1,41,220,[32, 48],null
654.0,1,41,219,[32, 47],[32, 44]
655.0,1,41,218,[32, 46],[32, 44]
656.0,1,41,217,[32, 45],[32, 44]
657.0,1,41,216,[32, 44],null
658.0,1,41,216,[32, 44],null
659.0,1,41,214,[32, 42],[32, 40]
660.0,1,41,213,[32, 41],[32, 40]
661.0,1,41,212,[32, 40],null
662.0,1,41,212,[32, 40],null
663.0,1,41,210,[30, 42],[29, 43]
664.0,1,41,209,[29, 43],null
665.0,1,41,209,[29, 43],null
666.0,1,41,207,[29, 41],[30, 39]
667.0,1,41,206,[29, 40],[30, 39]
668.0,1,41,206,[29, 40],[30, 39]
669.0,1,41,204,[30, 40],[29, 41]
670.0,1,41,203,[29, 41],null
671.0,1,41,203,[29, 41],null
672.0,1,41,202,[29, 42],[28, 45]
673.0,1,41,200,[29, 44],[28, 45]
674.0,1,41,199,[28, 45],null
675.0,1,41,198,[27, 45],[24, 43]
676.0,1,41,198,[27, 45],[24, 43]
677.0,1,41,197,[26, 45],[24, 43]
678.0,1,41,196,[25, 44],[24, 43]
679.0,1,41,195,[24, 43],null
680.0,1,41,194,[23, 42],[22, 41]
681.0,1,41,192,[22, 40],[23, 39]
682.0,1,41,191,[23, 39],null
683.0,1,41,191,[23, 39],null
684.0,1,41,190,[24, 40],[25, 41]
685.0,1,41,188,[24, 42],[23, 43]
686.0,1,41,187,[23, 43],null
687.0,1,41,186,[23, 42],[25, 40]
688.0,1,41,186,[23, 42],[25, 40]
689.0,1,41,185,[24, 41],[25, 40]
690.0,1,41,184,[25, 40],null
691.0,1,41,183,[24, 40],null
692.0,1,41,182,[25, 40],[28, 37]
693.0,1,41,180,[27, 38],[28, 37]
694.0,1,41,180,[27, 38],[28, 37]
695.0,1,41,179,[28, 37],null
696.0,1,41,178,[28, 38],[30, 40]
697.0,1,41,177,[29, 39],[30, 40]
698.0,1,41,176,[30, 40],null
699.0,1,41,174,[31, 38],[32, 37]
700.0,1,41,174,[31, 38],[32, 37]
701.0,1,41,172,[32, 36],[33, 33]
702.0,1,41,171,[32, 35],[33, 33]
703.0,1,41,170,[32, 34],[33, 33]
704.0,1,41,170,[32, 34],[33, 33]
705.0,1,41,169,[33, 33],null
706.0,1,41,167,[31, 33],[29, 32]
707.0,1,41,166,[30, 33],[29, 32]
708.0,1,41,165,[31, 32],[52, 11]
709.0,1,41,165,[31, 32],[52, 11]
710.0,1,41,163,[33, 30],[52, 11]
711.0,1,41,163,[33, 30],[52, 11]
712.0,1,41,161,[35, 28],[52, 11]
713.0,1,41,160,[36, 27],[52, 11]
714.0,1,41,159,[37, 26],[52, 11]
715.0,1,41,159,[37, 26],[52, 11]
716.0,1,41,157,[39, 24],[52, 11]
717.0,1,41,157,[39, 24],[52, 11]
718.0,1,41,156,[40, 23],[52, 11]
719.0,1,41,154,[42, 21],[52, 11]
720.0,1,41,153,[43, 20],[52, 11]
721.0,1,41,153,[43, 20],[52, 11]
722.0,1,41,152,[44, 19],[52, 11]
723.0,1,41,151,[45, 18],[52, 11]
724.0,1,41,150,[46, 17],[52, 11]
725.0,1,41,149,[47, 16],[52, 11]
726.0,1,41,147,[49, 14],[52, 11]
727.0,1,41,146,[50, 13],[52, 11]
728.0,1,41,145,[51, 12],[52, 11]
729.0,1,41,500,[52, 11],null
730.0,1,41,500,[52, 11],null
731.0,1,41,498,[51, 11],[50, 10]
732.0,1,41,498,[51, 11],[50, 10]
733.0,1,41,497,[50, 10],null
734.0,1,44,497,[50, 10],null
735.0,1,44,495,[48, 10],[46, 10]
736.0,1,44,494,[47, 10],[46, 10]
737.0,1,44,494,[47, 10],[46, 10]
738.0,1,44,493,[46, 10],null
739.0,1,44,492,[46, 9],[43, 6]
740.0,1,44,490,[44, 7],[43, 6]
741.0,1,44,489,[43, 6],null
742.0,1,44,488,[43, 7],[44, 10]
743.0,1,44,487,[43, 8],[44, 10]
744.0,1,44,487,[43, 8],[44, 10]
745.0,1,44,485,[44, 10],null
746.0,1,44,484,[44, 11],[45, 12]
747.0,1,44,483,[45, 12],null
748.0,1,44,483,[45, 12],null
749.0,1,44,482,[46, 12],[47, 12]
750.0,1,44,480,[47, 13],[47, 15]
751.0,1,44,480,[47, 13],[47, 15]
752.0,1,44,478,[47, 15],null
753.0,1,44,478,[47, 15],null
754.0,1,44,477,[46, 15],[43, 17]
755.0,1,44,476,[45, 15],[43, 17]
756.0,1,44,474,[43, 17],null
757.0,1,44,474,[43, 17],null
758.0,1,44,473,[44, 17],[45, 18]
759.0,1,44,472,[45, 18],null
760.0,1,44,472,[45, 18],null
761.0,1,44,472,[45, 18],null
762.0,1,44,470,[44, 16],[42, 14]
763.0,1,44,469,[43, 15],[42, 14]
764.0,1,44,468,[42, 14],null
765.0,1,44,468,[42, 14],null
766.0,1,44,466,[42, 12],[44, 10]
767.0,1,44,466,[42, 12],[44, 10]
768.0,1,44,464,[44, 10],null
769.0,1,44,464,[44, 10],null
770.0,1,44,462,[44, 12],[45, 14]
771.0,1,44,461,[44, 13],[45, 14]
772.0,1,44,461,[44, 13],[45, 14]
773.0,1,44,460,[45, 14],null
774.0,1,44,458,[43, 14],[41, 12]
775.0,1,44,458,[43, 14],[41, 12]
776.0,1,44,456,[41, 12],null
777.0,1,44,455,[42, 12],null
778.0,1,44,454,[42, 11],null
779.0,1,44,453,[42, 10],[42, 7]
780.0,1,44,452,[42, 9],[42, 7]
781.0,1,44,451,[42, 8],[42, 7]
782.0,1,44,450,[42, 7],null
783.0,1,44,449,[43, 7],[46, 10]
784.0,1,44,449,[43, 7],[46, 10]
785.0,1,44,447,[45, 9],[46, 10]
786.0,1,44,446,[46, 10],null
787.0,1,44,445,[47, 10],[50, 12]
788.0,1,44,444,[48, 10],[50, 12]
789.0,1,44,444,[48, 10],[50, 12]
790.0,1,44,442,[50, 12],null
791.0,1,44,442,[50, 12],null
792.0,1,44,441,[50, 13],[50, 14]
793.0,1,44,439,[49, 15],[47, 17]
794.0,1,44,439,[49, 15],[47, 17]
795.0,1,44,438,[48, 16],[47, 17]
796.0,1,44,437,[47, 17],null
797.0,1,44,436,[47, 18],[50, 21]
798.0,1,44,434,[49, 20],[50, 21]
799.0,1,44,434,[49, 20],[50, 21]
800.0,1,44,433,[50, 21],null
801.0,1,44,431,[52, 21],[54, 23]
802.0,1,44,430,[53, 22],[54, 23]
803.0,1,44,429,[54, 23],null
804.0,1,44,428,[54, 24],[52, 27]
805.0,1,44,427,[54, 25],[52, 27]
806.0,1,44,427,[54, 25],[52, 27]
807.0,1,44,425,[52, 27],null
808.0,1,44,425,[52, 27],null
809.0,1,44,424,[51, 26],[47, 17]
810.0,1,44,424,[51, 26],[47, 17]
811.0,1,44,422,[49, 24],[47, 17]
812.0,1,44,421,[48, 23],[47, 17]
813.0,1,44,420,[47, 22],[47, 17]
814.0,1,44,419,[46, 21],[47, 17]
815.0,1,44,418,[46, 20],[47, 17]
816.0,1,44,417,[46, 19],[47, 17]
817.0,1,44,416,[46, 18],[47, 17]
818.0,1,44,415,[47, 17],null
819.0,1,50,415,[47, 17],null
820.0,1,50,414,[47, 18],[48, 20]
821.0,1,50,413,[47, 19],[48, 20]
822.0,1,50,413,[47, 19],[48, 20]
823.0,1,50,411,[48, 21],[47, 23]
824.0,1,50,410,[48, 22],[47, 23]
825.0,1,50,409,[47, 23],null
826.0,1,50,409,[47, 23],null
827.0,1,50,408,[48, 23],[49, 23]
828.0,1,50,407,[49, 23],null
829.0,1,50,406,[48, 23],[45, 23]
830.0,1,50,404,[46, 23],[45, 23]
831.0,1,50,403,[45, 23],null
832.0,1,50,403,[45, 23],null
833.0,1,50,402,[44, 23],[42, 24]
834.0,1,50,400,[42, 24],null
835.0,1,50,399,[42, 23],[43, 22]
836.0,1,50,399,[42, 23],[43, 22]
837.0,1,50,397,[43, 21],[41, 18]
838.0,1,50,396,[43, 20],[41, 18]
839.0,1,50,395,[42, 19],[41, 18]
840.0,1,50,394,[41, 18],null
841.0,1,50,394,[41, 18],null
842.0,1,50,393,[42, 18],[44, 20]
843.0,1,50,391,[44, 20],null
844.0,1,50,390,[43, 19],[41, 17]
845.0,1,50,389,[42, 18],[41, 17]
846.0,1,50,388,[41, 17],null
847.0,1,50,387,[42, 17],[45, 14]
848.0,1,50,386,[43, 16],[45, 14]
849.0,1,50,386,[43, 16],[45, 14]
850.0,1,50,385,[44, 15],[45, 14]
851.0,1,50,383,[46, 13],[47, 12]
852.0,1,50,383,[46, 13],[47, 12]
853.0,1,50,382,[47, 12],null
854.0,1,50,380,[49, 12],[51, 13]
855.0,1,50,379,[50, 12],[51, 13]
856.0,1,50,378,[51, 13],null
857.0,1,50,378,[51, 13],null
858.0,1,50,376,[49, 13],[47, 13]
859.0,1,50,376,[49, 13],[47, 13]
860.0,1,50,375,[48, 13],[47, 13]
861.0,1,50,373,[46, 13],[44, 12]
862.0,1,50,372,[45, 13],[44, 12]
863.0,1,50,371,[44, 12],null
864.0,1,50,370,[45, 13],[48, 16]
865.0,1,50,369,[46, 14],[48, 16]
866.0,1,50,368,[47, 15],[48, 16]
867.0,1,50,367,[48, 16],null
868.0,1,50,366,[48, 15],[47, 14]
869.0,1,50,366,[48, 15],[47, 14]
870.0,1,50,365,[47, 14],null
871.0,1,50,363,[47, 16],[46, 18]
872.0,1,50,363,[47, 16],[46, 18]
873.0,1,50,361,[46, 18],null
874.0,1,50,361,[46, 18],null
875.0,1,50,359,[46, 16],[48, 14]
876.0,1,50,359,[46, 16],[48, 14]
877.0,1,50,358,[47, 15],[48, 14]
878.0,1,50,356,[47, 14],[45, 16]
879.0,1,50,355,[46, 15],[45, 16]
880.0,1,50,355,[46, 15],[45, 16]
881.0,1,50,354,[45, 16],null
882.0,1,50,352,[47, 16],[49, 15]
883.0,1,50,351,[48, 16],[49, 15]
884.0,1,50,350,[49, 15],null
885.0,1,50,349,[49, 14],[50, 13]
886.0,1,50,349,[49, 14],[50, 13]
887.0,1,50,348,[50, 13],null
888.0,1,50,346,[48, 15],null
889.0,1,50,346,[48, 15],null
890.0,1,50,344,[48, 17],[49, 19]
891.0,1,50,344,[48, 17],[49, 19]
892.0,1,50,343,[48, 18],[49, 19]
893.0,1,50,342,[49, 19],null
894.0,1,50,340,[51, 19],[53, 17]
895.0,1,50,339,[52, 18],[53, 17]
896.0,1,50,338,[53, 17],null
897.0,1,50,337,[54, 18],null
898.0,1,50,337,[54, 18],null
899.0,1,50,335,[54, 20],[53, 22]
900.0,1,50,335,[54, 20],[53, 22]
901.0,1,50,333,[53, 22],null
902.0,1,50,332,[53, 21],[53, 20]
903.0,1,50,332,[53, 21],[53, 20]
904.0,1,50,331,[53, 20],null
905.0,1,50,330,[53, 19],[52, 17]
906.0,1,50,328,[52, 17],null
907.0,1,50,328,[52, 17],null
908.0,1,50,326,[50, 18],[49, 19]
909.0,1,50,325,[49, 19],null
910.0,1,50,325,[49, 19],null
911.0,1,50,323,[47, 19],[45, 18]
912.0,1,50,322,[46, 19],[45, 18]
913.0,1,50,322,[46, 19],[45, 18]
914.0,1,50,320,[46, 18],[49, 15]
915.0,1,50,320,[46, 18],[49, 15]
916.0,1,50,319,[47, 17],[49, 15]
917.0,1,50,317,[49, 15],null
918.0,1,50,317,[49, 15],null
919.0,1,50,315,[51, 15],[53, 14]
920.0,1,50,315,[51, 15],[53, 14]
921.0,1,50,313,[53, 14],null
922.0,1,50,313,[53, 14],null
923.0,1,50,311,[52, 15],null
924.0,1,50,310,[53, 14],[55, 12]
925.0,1,50,310,[53, 14],[55, 12]
926.0,1,50,309,[54, 13],[55, 12]
927.0,1,50,307,[56, 12],[59, 15]
928.0,1,50,307,[56, 12],[59, 15]
929.0,1,50,306,[57, 13],[59, 15]
930.0,1,50,304,[59, 15],null
931.0,1,50,304,[59, 15],null
932.0,1,50,302,[57, 15],[56, 16]
933.0,1,50,302,[57, 15],[56, 16]
934.0,1,50,301,[56, 16],null
935.0,1,50,300,[55, 15],[54, 15]
936.0,1,50,298,[54, 13],[54, 15]
937.0,1,50,298,[54, 13],[54, 15]
938.0,1,50,297,[53, 14],[54, 15]
939.0,1,50,296,[53, 15],[54, 15]
940.0,1,50,294,[52, 15],[54, 15]
941.0,1,50,293,[53, 14],[54, 15]
942.0,1,50,292,[53, 15],[54, 15]
943.0,1,50,291,[52, 14],[54, 15]
944.0,1,50,291,[52, 14],[54, 15]
945.0,1,50,290,[52, 15],[54, 15]
946.0,1,50,288,[53, 15],[54, 15]
947.0,1,50,288,[53, 15],[54, 15]
948.0,1,50,286,[52, 15],[54, 15]
949.0,1,50,286,[52, 15],[54, 15]
950.0,1,50,284,[53, 15],[54, 15]
951.0,1,50,284,[53, 15],[54, 15]
952.0,1,50,282,[52, 15],[54, 15]
953.0,1,50,281,[53, 14],[54, 15]
954.0,1,50,280,[53, 15],[54, 15]
955.0,1,50,280,[53, 15],[54, 15]
956.0,1,50,279,[52, 14],[54, 15]
957.0,1,50,278,[52, 15],[54, 15]
958.0,1,50,276,[53, 15],[54, 15]
959.0,1,50,276,[53, 15],[54, 15]
960.0,1,50,275,[52, 14],[54, 15]
961.0,1,50,273,[53, 14],[54, 15]
962.0,1,50,272,[53, 15],[54, 15]
963.0,1,50,271,[52, 14],[54, 15]
964.0,1,50,271,[52, 14],[54, 15]
965.0,1,50,269,[53, 14],[54, 15]
966.0,1,50,268,[53, 15],[54, 15]
967.0,1,50,268,[53, 15],[54, 15]
968.0,1,50,267,[52, 14],[54, 15]
969.0,1,50,265,[53, 14],[54, 15]
970.0,1,50,264,[53, 15],[54, 15]
971.0,1,50,263,[52, 14],[54, 15]
972.0,1,50,262,[52, 15],[54, 15]
973.0,1,50,261,[53, 14],[54, 15]
974.0,1,50,261,[53, 14],[54, 15]
975.0,1,50,259,[52, 14],[54, 15]
976.0,1,50,258,[52, 15],[54, 15]
977.0,1,50,257,[53, 14],[54, 15]
978.0,1,50,257,[53, 14],[54, 15]
979.0,1,50,256,[53, 15],[54, 15]
980.0,1,50,254,[52, 15],[54, 15]
981.0,1,50,253,[53, 14],[54, 15]
982.0,1,50,253,[53, 14],[54, 15]
983.0,1,50,251,[52, 14],[54, 15]
984.0,1,50,250,[52, 15],[54, 15]
985.0,1,50,249,[53, 14],[54, 15]
986.0,1,50,248,[53, 15],[54, 15]
987.0,1,50,247,[52, 14],[54, 15]
988.0,1,50,246,[52, 15],[54, 15]
989.0,1,50,246,[52, 15],[54, 15]
990.0,1,50,244,[53, 15],[54, 15]
991.0,1,50,243,[52, 14],[54, 15]
992.0,1,50,243,[52, 14],[54, 15]
993.0,1,50,242,[52, 15],[54, 15]
994.0,1,50,241,[53, 14],[54, 15]
995.0,1,50,239,[52, 14],[54, 15]
996.0,1,50,238,[52, 15],[54, 15]
997.0,1,50,238,[52, 15],[54, 15]
998.0,1,50,237,[53, 14],[54, 15]
999.0,1,50,235,[52, 14],[54, 15]
1000.0,1,50,235,[52, 14],[54, 15]
